campaign_id,dataset_id,data_family,data_type,pattern,count,element_size,data_bytes,comparator_kind,seed,scratch_mode,algorithm,selected_algorithm,best_algorithm,clock_frequency_hz,timing_iterations,sample_count,elapsed_ticks_total,ticks_per_iteration,min_ns,median_ns,mean_ns,p95_ns,max_ns,feature_extraction_ns,dispatch_only_ns,selected_sort_ns,public_api_total_ns,dispatcher_overhead_ns,dispatcher_overhead_percent,comparison_count,move_count,swap_count,bytes_moved,sorted_ok,multiset_ok,payload_ok,canary_ok,decision_reason,profile_fallback_used,sampled_pair_count,disorder_score,equal_score,equal_pair_count,direction_changes,comparison_sign_mask,regret,absolute_loss_ns,sample_preview
smoke,0,integers,int8_t,random,0,1,0,numeric,1,no_scratch,always_shell,shell,shell,10000000,5,3,60019,12003,1000050.000,1000900.000,1333650.000,2000000.000,2000000.000,nan,nan,1000900.000,nan,nan,nan,0,0,0,0,1,1,1,1,11,0,0,0,0,0,0,0,1.000,0.000,"[]"
smoke,0,integers,int8_t,random,0,1,0,numeric,1,no_scratch,always_intro,intro,shell,10000000,4,3,60001,15000,1000050.000,2000000.000,1666683.333,2000000.000,2000000.000,nan,nan,2000000.000,nan,nan,nan,0,0,0,0,1,1,1,1,11,0,0,0,0,0,0,0,1.998,999100.000,"[]"
smoke,0,integers,int8_t,random,0,1,0,numeric,1,no_scratch,always_merge_if_available,none,shell,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.000,0.000,"[]"
smoke,0,integers,int8_t,random,0,1,0,numeric,1,no_scratch,always_cycle_if_available,none,shell,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.000,0.000,"[]"
smoke,0,integers,int8_t,random,0,1,0,numeric,1,no_scratch,loxsort_dispatcher,none,shell,10000000,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1.000,0.000,"[]"
smoke,0,integers,int8_t,random,0,1,0,numeric,1,no_scratch,always_insertion,insertion,shell,10000000,4,3,60001,15000,1000050.000,2000000.000,1666683.333,2000000.000,2000000.000,nan,nan,2000000.000,nan,nan,nan,0,0,0,0,1,1,1,1,11,0,0,0,0,0,0,0,1.998,999100.000,"[]"
smoke,0,integers,int8_t,random,0,1,0,numeric,1,no_scratch,oracle_best,shell,shell,10000000,5,3,60019,12003,1000050.000,1000900.000,1333650.000,2000000.000,2000000.000,nan,nan,1000900.000,nan,nan,nan,0,0,0,0,1,1,1,1,11,0,0,0,0,0,0,0,1.000,0.000,"[]"
smoke,1,floating_point,float,sorted,33,4,132,total_order,7806831264735756413,insufficient_scratch,loxsort_dispatcher,intro,shell,10000000,1681,3,60060,35,3450.690,3605.946,3575.228,3669.048,3669.048,268.002,2000000.000,3049.238,3605.946,556.708,18.257,0,0,0,0,1,1,1,1,9,1,16,95,47,3,6,3,1.437,1097.425,"[1.84256e-17, -3.14795e-32, -1.8621e-13]"
smoke,1,floating_point,float,sorted,33,4,132,total_order,7806831264735756413,insufficient_scratch,always_insertion,insertion,shell,10000000,1215,3,60118,49,4828.434,4830.361,4954.144,5203.636,5203.636,nan,nan,4830.361,nan,nan,nan,0,0,0,0,1,1,1,1,11,0,0,0,0,0,0,0,1.926,2321.840,"[1.84256e-17, -3.14795e-32, -1.8621e-13]"
smoke,1,floating_point,float,sorted,33,4,132,total_order,7806831264735756413,insufficient_scratch,always_shell,shell,shell,10000000,2448,3,60097,24,2328.289,2508.521,2458.414,2538.432,2538.432,nan,nan,2508.521,nan,nan,nan,0,0,0,0,1,1,1,1,11,0,0,0,0,0,0,0,1.000,0.000,"[1.84256e-17, -3.14795e-32, -1.8621e-13]"
smoke,1,floating_point,float,sorted,33,4,132,total_order,7806831264735756413,insufficient_scratch,always_intro,intro,shell,10000000,1884,3,60037,31,3165.190,3194.099,3186.750,3200.960,3200.960,nan,nan,3194.099,nan,nan,nan,0,0,0,0,1,1,1,1,11,0,0,0,0,0,0,0,1.273,685.578,"[1.84256e-17, -3.14795e-32, -1.8621e-13]"
