campaign_id,dataset_id,data_family,data_type,pattern,count,element_size,data_bytes,comparator_kind,seed,scratch_mode,algorithm,selected_algorithm,best_algorithm,clock_frequency_hz,timing_iterations,sample_count,elapsed_ticks_total,ticks_per_iteration,min_ns,median_ns,mean_ns,p95_ns,max_ns,feature_extraction_ns,dispatch_only_ns,selected_sort_ns,public_api_total_ns,dispatcher_overhead_ns,dispatcher_overhead_percent,comparison_count,move_count,swap_count,bytes_moved,sorted_ok,multiset_ok,payload_ok,canary_ok,decision_reason,profile_fallback_used,sampled_pair_count,disorder_score,equal_score,equal_pair_count,direction_changes,comparison_sign_mask,regret,absolute_loss_ns,sample_preview
smoke,0,integers,int8_t,random,0,1,0,numeric,1,no_scratch,always_shell,shell,intro,10000000,16,3,60174,3760,200090.000,666733.333,512974.444,672100.000,672100.000,nan,nan,666733.333,nan,nan,nan,0,0,0,0,1,1,1,1,11,0,0,0,0,0,0,0,3.332,466643.333,"[]"
smoke,0,integers,int8_t,random,0,1,0,numeric,1,no_scratch,always_intro,intro,intro,10000000,35,3,60032,1715,83429.167,200090.000,761173.056,2000000.000,2000000.000,nan,nan,200090.000,nan,nan,nan,0,0,0,0,1,1,1,1,11,0,0,0,0,0,0,0,1.000,0.000,"[]"
smoke,0,integers,int8_t,random,0,1,0,numeric,1,no_scratch,always_merge_if_available,none,intro,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.000,0.000,"[]"
smoke,0,integers,int8_t,random,0,1,0,numeric,1,no_scratch,always_cycle_if_available,none,intro,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.000,0.000,"[]"
smoke,0,integers,int8_t,random,0,1,0,numeric,1,no_scratch,loxsort_dispatcher,none,intro,10000000,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1.000,0.000,"[]"
smoke,0,integers,int8_t,random,0,1,0,numeric,1,no_scratch,always_insertion,insertion,intro,10000000,13,3,60010,4616,333416.667,333416.667,888944.444,2000000.000,2000000.000,nan,nan,333416.667,nan,nan,nan,0,0,0,0,1,1,1,1,11,0,0,0,0,0,0,0,1.666,133326.667,"[]"
smoke,0,integers,int8_t,random,0,1,0,numeric,1,no_scratch,oracle_best,intro,intro,10000000,35,3,60032,1715,83429.167,200090.000,761173.056,2000000.000,2000000.000,nan,nan,200090.000,nan,nan,nan,0,0,0,0,1,1,1,1,11,0,0,0,0,0,0,0,1.000,0.000,"[]"
smoke,1,floating_point,float,sorted,33,4,132,total_order,7806831264735756413,insufficient_scratch,loxsort_dispatcher,intro,shell,10000000,376,3,60175,160,15748.031,15770.866,16010.671,16513.115,16513.115,1143.265,500225.000,14631.387,15770.866,1139.479,7.788,0,0,0,0,1,1,1,1,9,0,16,95,47,3,6,3,1.191,2533.366,"[1.84256e-17, -3.14795e-32, -1.8621e-13]"
smoke,1,floating_point,float,sorted,33,4,132,total_order,7806831264735756413,insufficient_scratch,always_insertion,insertion,shell,10000000,239,3,60381,252,24613.415,24748.148,25292.451,26515.789,26515.789,nan,nan,24748.148,nan,nan,nan,0,0,0,0,1,1,1,1,11,0,0,0,0,0,0,0,1.870,11510.648,"[1.84256e-17, -3.14795e-32, -1.8621e-13]"
smoke,1,floating_point,float,sorted,33,4,132,total_order,7806831264735756413,insufficient_scratch,always_shell,shell,shell,10000000,457,3,60212,131,12590.566,13237.500,13192.004,13747.945,13747.945,nan,nan,13237.500,nan,nan,nan,0,0,0,0,1,1,1,1,11,0,0,0,0,0,0,0,1.000,0.000,"[1.84256e-17, -3.14795e-32, -1.8621e-13]"
